Dutch,English,German,Russian,Indonesian,French,Korean,Japanese,Spanish,Italian
Huis,House,Haus,Дом,Rumah,Maison,집,家,Casa,Casa
Deur,Door,Tür,Дверь,Pintu,Porte,문,ドア,Puerta,Porta
Lamp,Lamp,Lampe,Лампа,Lampu,Lampe,램프,ランプ,Lámpara,Lampada
Bed,Bed,Bett,Кровать,Tempat tidur,Lit,침대,ベッド,Cama,Letta letto
Bank,Bank,Bank,Банк,Bank,Banque,은행,銀行,Banco,Banca
Stoel,Chair,Stuhl,Стул,Kursi,Chaise,의자,椅子,Silla,Sedia
Televisie,Television,Fernsehen,Телевидение,Televisi,Télévision,텔레비전,テレビ,Televisión,Televisione
Keuken,Kitchen,Küche,Кухня,Dapur,Cuisine,주방,台所,Cocina,Cucina
Douche,Shower,Dusche,Душ,Mandi,Douche,샤워,シャワー,Ducha,Doccia
Wc,Wc,Toilette,Туалет,Toilet,Toilettes,화장실,トイレ,Wc,Wc
